"created_at","id_str","full_text","quote_count","reply_count","retweet_count","favorite_count","lang","user_id_str","conversation_id_str","username","tweet_url"
"Wed Feb 07 18:15:49 +0000 2024","1.76E+18","@markieefiance Mereka ini emang sampah negara yang pantas untuk dibinasakan, lihat saja perkataan orang kayak mereka ke pengungsi rohingya. Gatau ni orang bodoh atau ga punya hati tapi yang jelas mereka ini cuma beban dan sumber rasa malu untuk negara ini","0","0","0","0","in","1.57E+18","1.76E+18","xovrniccc","https://twitter.com/xovrniccc/status/1755294307601518957"
"Wed Feb 07 18:07:12 +0000 2024","1.76E+18","@RodriChen geli baca tulisan di bawahnya  Bukan memasak untuk rohingya""  peduli kepada pengungsi,bukan berarti tidak peduli dengan rakyat yg lain. lagipula,kan sudah banyak informasinya. pengungsi itu di urus oleh UNHCR ( makannya ) https://t.co/CgegerrjE4""","0","0","0","0","in","3193742610","1.76E+18","echoPiR","https://twitter.com/echoPiR/status/1755292137648984274"
"Wed Feb 07 17:58:01 +0000 2024","1.76E+18","@roseeunjennie @bahyrm @ferrykoto Dari jaman suharto juga tol ya bayar tolol, kalo mau gratis ya lu ngemis bansos goblok, lu udh jd buzer tolol pula anjing, bayar pajak juga sedari dulu ya emng harus bayar, kalo mau gratis lu jd penghuni rohingya goblok, ngakunya banyak duit anjing, sekelas bayar tol aje bawel","0","0","0","0","in","1.47E+18","1.76E+18","BTrisudewo","https://twitter.com/BTrisudewo/status/1755289827531198854"
"Wed Feb 07 17:24:59 +0000 2024","1.76E+18","Jdi presiden rohingya aja lebih cocok","0","0","0","0","in","1.68E+18","1.76E+18","81_habibie95625","https://twitter.com/81_habibie95625/status/1755281515087602155"
"Wed Feb 07 17:23:22 +0000 2024","1.76E+18","Anjeng banget â€œbukan memasak untuk rohingyaâ€ ktl kau","0","0","0","0","in","1.24E+18","1.76E+18","ghrrffdd","https://twitter.com/ghrrffdd/status/1755281110404337745"
"Wed Feb 07 17:01:43 +0000 2024","1.76E+18","Narasi mending duitnya kasih ke rakyat papua daripada rohingya"".  Kek kalian nggak rasis + benci aja sama orang orang Papua.   Orang Papua nggak butuh duit juga, butuhnya bebas dari jajahan pemerintah indon.""","0","0","0","0","in","1.00E+18","1.76E+18","lamiapd","https://twitter.com/lamiapd/status/1755275660107424117"
"Wed Feb 07 16:39:44 +0000 2024","1.76E+18","Baru aku tau ada rohingya di siam","0","1","0","0","in","618552928","1.76E+18","aafifawis","https://twitter.com/aafifawis/status/1755270127963246783"
"Wed Feb 07 16:18:00 +0000 2024","1.76E+18","@utdfocusid @bliblidotcom Rohingya kok dilindungi","0","0","0","0","in","1.29E+18","1.76E+18","Rf23476183","https://twitter.com/Rf23476183/status/1755264658322465185"
"Wed Feb 07 16:12:47 +0000 2024","1.76E+18","@yozariam Orang orang makin gila dekat epmilu, semuanya dikait kaitkan sama pemilu, padahal ini reaksi dari rohingya yang diberi makan gratis , si bobon ini pemilu ngak pemilu pasti bakal buat konten yang sama , dibuat mampus otak kalian dicuci sama tuh paslon betiga","0","0","0","0","in","1.68E+18","1.76E+18","XRenSteve","https://twitter.com/XRenSteve/status/1755263346180563272"
"Wed Feb 07 16:11:05 +0000 2024","1.76E+18","@zy_zy_its_me Disegani dunia ? Bangun hey, tidurmu terlaku miring. Kasus laut cina selatan itu bukti Indonesia diseganikah buzzer dungu ?? Terus maraknya kapal2 asing lain masuk keperairan Indonesia itu bukti disegani. Belum lagi lolos kapal imigran ilegal rohingya, dr segi mana disegani ?","0","1","0","0","in","1.71E+18","1.76E+18","Newbie_Frontale","https://twitter.com/Newbie_Frontale/status/1755262918558691656"
